n,claim_key,claim,tested_as,title,abstract,citations,YOUR_relevance,YOUR_stance,YOUR_stated_position,stated_position_evidence,YOUR_notes,labelled_by,--,model_stance,model_confidence,model_finding,model_direction,model_study_type,stratum,paperId
49,sleep_consolidation_6m,Most infants sleep through the night by 6 months of age,Most infants sleep through the night by 6 months of age,"Anticipatory guidance to prevent infant sleep problems within a randomised controlled trial: infant, maternal and partner outcomes at 6 months of age","OBJECTIVE: To evaluate the effectiveness of sleep education delivered antenatally and at 3 weeks postpartum to prevent infant sleep problems at 6 months of age. DESIGN: Sleep intervention within a randomised controlled trial for the Prevention of Overweight in Infancy (POI) study. PARTICIPANTS: 802 families were randomly allocated to one of four groups: usual care (control), sleep intervention (sleep), food, activity and breastfeeding intervention (FAB), and combined group receiving both interventions (combination). INTERVENTIONS: All groups received standard Well Child care. The sleep intervention groups (sleep and combination) received an antenatal group education session (all mothers and most partners) emphasising infant self-settling and safe sleeping, and a home visit at 3 weeks reinforcing the antenatal sleep education. FAB and combination groups received four contacts providing education and support on breast feeding, food and activity up to 4 months postpartum. OUTCOME MEASURES: Here we report secondary sleep outcomes from the POI study: the prevalence of parent-reported infant sleep problems and night waking, and differences in sleep duration. Additional outcomes reported include differences in infant self-settling, safe sleep practices, and maternal and partner reports of their own sleep, fatigue and depression symptoms. RESULTS: Linear or mixed linear regression models found no significant intervention effects on sleep outcomes, with 19.1% of mothers and 16.6% of partners reporting their infant's sleep a problem at 6 months. Actigraphy estimated the number of night wakings to be significantly reduced (8%) and the duration of daytime sleep increased (6 min) in those groups receiving the sleep intervention compared with those who did not. However, these small differences were not clinically significant and not observed in 24 hours infant sleep diary data. No other differences were observed. CONCLUSION: A strategy delivering infant sleep education antenatally and at 3 weeks postpartum was not effective in preventing the development of parent-reported infant sleep problems.",62,indirect,neutral,none,,"RCT of sleep education measures night waking and parent-reported sleep problems at 6 months (right population/outcome window) but never reports sleep-through-the-night prevalence, so no direction for this prevalence claim can be read off.",fable,,refutes,80,"No significant intervention effects on sleep problems, night waking, or sleep duration at 6 months of age",disagrees,rct,refutes,W2620803181
50,juice_limit,Fruit juice should be avoided before 12 months,Fruit juice consumption before 12 months is associated with worse health outcomes,Viewpoint: Early childhood caries: a New Zealand perspective,"Dental caries, primarily a preventable disease, remains the most common chronic disease of childhood and one of the most common reasons for hospital admissions for children in New Zealand. The most vulnerable children are shouldering the burden of the disease, with Maori and Pacific children having greater experience and severity of dental caries. Early childhood caries has deleterious effects on a child’s oral and general health and significant numbers of preschool-aged children experience pain and infection. Early identification by primary health care providers of children at high risk of developing early childhood caries can ensure these children are referred to the appropriate oral health services to receive appropriate and timely management. KEYWORDS: Dental care for children; dental caries; New Zealand; preschool child",7,background,does not test,none,,"Viewpoint on early childhood caries burden in NZ; never mentions juice or any dietary exposure, so it hands juice researchers nothing.",fable,,refutes,90,"Early childhood caries is a preventable disease that disproportionately affects Maori and Pacific children in New Zealand, with deleterious effects on oral and general health.",disagrees,review,refutes,W2184522557
51,pretend_play,Pretend play supports social cognition and theory of mind,Pretend play supports social cognition and theory of mind,Interventions based on the Theory of Mind cognitive model for autism spectrum disorder (ASD),"BACKGROUND: The 'Theory of Mind' (ToM) model suggests that people with autism spectrum disorder (ASD) have a profound difficulty understanding the minds of other people - their emotions, feelings, beliefs, and thoughts. As an explanation for some of the characteristic social and communication behaviours of people with ASD, this model has had a significant influence on research and practice. It implies that successful interventions to teach ToM could, in turn, have far-reaching effects on behaviours and outcome. OBJECTIVES: To review the efficacy of interventions based on the ToM model for individuals with ASD. SEARCH METHODS: In August 2013 we searched CENTRAL, Ovid MEDLINE, Embase, CINAHL, PsycINFO, ERIC, Social Services Abstracts, AutismData, and two trials registers. We also searched the reference lists of relevant papers, contacted authors who work in this field, and handsearched a number of journals. SELECTION CRITERIA: Review studies were selected on the basis that they reported on an applicable intervention (linked to ToM in one of four clearly-defined ways), presented new randomised controlled trial data, and participants had a confirmed diagnosis of an autism spectrum disorder. Studies were selected by two review authors independently and a third author arbitrated when necessary. DATA COLLECTION AND ANALYSIS: Risk of bias was evaluated and data were extracted by two review authors independently; a third author arbitrated when necessary. Most studies were not eligible for meta-analysis, the principal reason being mis-matching methodologies and outcome measures. Three small meta-analyses were carried out. MAIN RESULTS: Twenty-two randomised trials were included in the review (N = 695). Studies were highly variable in their country of origin, sample size, participant age, intervention delivery type, and outcome measures. Risk of bias was variable across categories. There were very few studies for which there was adequate blinding of participants and personnel, and some were also judged at high risk of bias in blinding of outcome assessors. There was also evidence of some bias in sequence generation and allocation concealment. Not all studies reported data that fell within the pre-defined primary outcome categories for the review, instead many studies reported measures which were intervention-specific (e.g. emotion recognition). The wide range of measures used within each outcome category and the mixed results from these measures introduced further complexity when interpreting results.Studies were grouped into four main categories according to intervention target/primary outcome measure. These were: emotion recognition studies, joint attention and social communication studies, imitation studies, and studies teaching ToM itself. Within the first two of these categories, a sub-set of studies were deemed suitable for meta-analysis for a limited number of key outcomes.There was very low quality evidence of a positive effect on measures of communication based on individual results from three studies. There was low quality evidence from 11 studies reporting mixed results of interventions on measures of social interaction, very low quality evidence from four studies reporting mixed results on measures of general communication, and very low quality evidence from four studies reporting mixed results on measures of ToM ability. The meta-analysis results we were able to generate showed that interventions targeting emotion recognition across age groups and working with people within the average range of intellectual ability had a positive effect on the target skill, measured by a test using photographs of faces (mean increase of 0.75 points, 95% confidence interval (CI) 0.22 to 1.29 points, Z = 2.75, P < 0.006, four studies, N = 105). Therapist-led joint attention interventions can promote production of more joint attention behaviours within adult-child interaction (mean increase of 0.55 points, 95% CI 0.11 to 0.99 points, Z = 2.45, P value = 0.01, two studies, N = 88). Further analysis undermines this conclusion somewhat by demonstrating that there was no clear evidence that intervention can have an effect on joint attention initiations as measured using a standardised assessment tool (mean increase of 0.23 points, 95% CI -0.48 to 0.94 points, Z = 0.63, P value = 0.53, three studies, N = 92). No adverse effects were apparent. AUTHORS' CONCLUSIONS: While there is some evidence that ToM, or a precursor skill, can be taught to people with ASD, there is little evidence of maintenance of that skill, generalisation to other settings, or developmental effects on related skills. Furthermore, inconsistency in findings and measurement means that evidence has been graded of 'very low' or 'low' quality and we cannot be confident that suggestions of positive effects will be sustained as high-quality evidence accumulates. Further longitudinal designs and larger samples are needed to help elucidate both the efficacy of ToM-linked interventions and the explanatory value of the ToM model itself. It is possible that the continuing refinement of the ToM model will lead to better interventions which have a greater impact on development than those investigated to date.",226,indirect,mixed,none,,"Ambiguous: exposure is ToM-targeted interventions in ASD, not pretend play, but it tests whether trainable experience improves ToM; findings are low-quality and point both ways (some target-skill gains, no maintenance or generalisation).",fable,,mixed,80,Interventions based on Theory of Mind model had varying effects on individuals with ASD,both,review,mixed,W1837731691
53,fewer_toys,Fewer toys in the environment leads to higher quality play,Fewer toys in the environment leads to higher quality play,Emotion regulation strategies in offspring of childhood‐onset depressed mothers,"BACKGROUND: This study examines emotion regulation strategies used by children of mothers with childhood-onset depression (COD) and children of never-depressed mothers (NCOD). METHODS: Participants were 49 COD offspring (ages 4-7) and 37 NCOD offspring (ages 4-7) and their mothers. Emotion regulation strategies were assessed observationally during a laboratory mood induction paradigm. RESULTS: COD offspring were more likely to focus on the delay object or task than NCOD offspring. Daughters of COD mothers were also more likely to wait passively and less likely to engage in active distraction than daughters of NCOD mothers. These findings were replicated using number of maternal depressive episodes. CONCLUSIONS: COD offspring, especially daughters, exhibit a more passive style of regulating emotion that may place them at risk for developing psychopathology.",286,background,does not test,none,,Emotion regulation in offspring of depressed mothers; unrelated to toy environment or play quality.,fable,,refutes,80,Children of depressed mothers exhibit a more passive style of emotion regulation,disagrees,observational,refutes,W2133028527
54,video_deficit,Infants learn less from video than from equivalent live interaction,Infants learn less from video than from equivalent live interaction,Screen on = development off? A systematic scoping review and a developmental psychology perspective on the effects of screen time on early childhood development,"Research on the associations between screen time and child development suggests that various forms of screen time might pose a risk for various aspects of child development. However, data on the impact of exposure to screen media on the development of children under 3 years of age is comparatively scarce. Although the evidence available on the topic is evolving rapidly, no review of existing literature has yet encompassed a comprehensive set of developmental outcomes with a focus in the first 3 years of life. To address this research gap, the present literature review focused on the influences of screen time on various developmental outcomes of children aged zero to 36 months. These outcomes were sleep-related parameters, physical health, cognition, learning efficiency, language, motor skills, socio-emotional skills, social interaction, and overall development. To this end, ten databases were searched systematically, and 158 studies that were published between the launch of the iPhone in early 2007 until 2024 were included. Only studies that reported specific results for the age range of zero to 36 months were examined, including longitudinal studies with samples of children aged zero to 36 months at the first wave of assessment. For most outcomes, a comparable amount of undesirable and non-significant associations was found with children's screen time, while few desirable associations were reported. In line with the notion of resilience, these results indicate that characteristics of the child, the context, and/or the content moderate the associations between screen time and child development in early childhood, thus contributing to mitigating the potential of displacement of learning opportunities or even creating new learning opportunities. More studies with designs that can examine the causal effect of screen time on child development and that explicitly address the role of child, content, and context variables are needed.",23,indirect,mixed,none,,Scoping review of screen time vs early development covers learning outcomes 0-36 months but never compares video to equivalent live interaction; findings split between undesirable and null associations.,fable,,mixed,80,"Various forms of screen time might pose a risk for various aspects of child development, but the impact of exposure to screen media on the development of children under 3 years of age is comparatively scarce.",both,review,mixed,W4406127975
55,sleep_training_effective,Behavioural sleep interventions improve infant sleep and maternal wellbeing,Behavioural sleep interventions improve infant sleep and maternal wellbeing,Controlled trial of the short- and long-term effect of psychological treatment of post-partum depression,"Background Psychological interventions for postnatal depression can be beneficial in the short term but their longer-term impact is unknown. Aims To evaluate the long-term effect on maternal mood of three psychological treatments in relation to routine primary care. Method Women with post-partum depression (n=193) were assigned randomly to one of four conditions: routine primary care, non-directive counselling, cognitive–behavioural therapy or psychodynamic therapy. They were assessed immediately after the treatment phase (at 4.5 months) and at 9, 18 and 60 months post-partum. Results Compared with the control, all three treatments had a significant impact at 4.5 months on maternal mood (Edinburgh Postnatal Depression Scale, EPDS). Only psychodynamic therapy produced a rate of reduction in depression (Structured Clinical Interview for DSM–III–R) significantly superior to that of the control. The benefit of treatment was no longer apparent by 9 months post-partum. Treatment did not reduce subsequent episodes of post-partum depression. Conclusions Psychological intervention for post-partum depression improves maternal mood (EPDS) in the short term. However, this benefit is not superior to spontaneous remission in the long term.",359,background,does not test,none,,"Trial of psychological treatment for postpartum depression; neither infant sleep nor a sleep intervention appears, and it offers no instrument a sleep-training trial would adopt.",fable,,refutes,90,"Psychological intervention for post-partum depression improves maternal mood in the short term, but this benefit is not superior to spontaneous remission in the long term",disagrees,rct,refutes,W4302417458
56,cow_milk_anaemia,Early cow's milk introduction increases the risk of iron deficiency anaemia,Early cow's milk introduction increases the risk of iron deficiency anaemia,Factors associated with the iron nutritional status of Brazilian children aged 4 to 7 years,"ABSTRACT Objective To evaluate factors associated with the iron nutritional status of Brazilian children aged 4 to 7 years in the city of Viçosa, Minas Gerais state, Brazil. Methods This is a cross-sectional study of 357 children aged 4-7 years who had been followed-up up for during their first six months of life by the Breastfeeding Support Program. Socioeconomic and demographic characteristics, feeding practices, nutritional status (height-for-age and body mass index-for-age), and serum ferritin and hemoglobin concentrations were evaluated. Multiple linear regression analysis was carried out to evaluate factors independently associated with iron nutritional status (hemoglobin and ferritin), considering α=0.05 as the significance level. Results The prevalence of anemia and iron deficiency was (34) 9.52% and (11) 11.00%, respectively. The factors independently associated with anemia were younger child age, low maternal education, low height-for-age Z-scores, and children of single and separated mothers or widows. Iron deficiency was associated with child younger age and consumption of chocolates and chocolate flavored milk. Conclusion The results obtained allow us to conclude that anemia among children 4-7 years of age is a public health problem in the city of Viçosa, Minas Gerais. Therefore, there is a need for intervention measures targeting children in this age group. These measures can be implemented through food and nutritional education by encouraging the consumption of iron-rich foods.",6,indirect,supports,none,,"Hesitated: population is 4-7 years and exposure is chocolate-flavoured milk consumption rather than early cow's milk introduction, but the milk-drink-to-iron-deficiency association points the same direction as the claim.",fable,,refutes,80,"Anemia among children 4-7 years of age is a public health problem in the city of Viçosa, Minas Gerais, and is associated with younger child age, low maternal education, low height-for-age Z-scores, and children of single and separated mothers or widows. Iron deficiency is associated with child younger age and consumption of chocolates and chocolate flavored milk.",disagrees,cross-sectional,refutes,W2735669907
57,screen_language_delay,Higher screen time in infancy is associated with language delay,Higher screen time in infancy is associated with language delay,"Webcams, Songs, and Vocabulary Learning: A Comparison of In-Person and Remote Data Collection as a Way of Moving Forward With Child-Language Research","This article evaluates a testing procedure for collecting eye-gaze data with toddlers and preschoolers during a word-learning task. We provide feasibility and precision data by comparing performance in an in-person version of the study (conducted under controlled conditions in the lab), with performance in a virtual version in which participants completed the testing procedure from home. Our data support the feasibility of collecting remote eye-gaze data with young children, and present it as a viable alternative for conducting developmental language research when in-person interactions with participants cannot take place. Additionally, we use this methodological approach to examine a topic that has gained popularity in recent years-the role of music and songs on vocabulary learning. We provide evidence suggesting that while songs may help increase attention during a particular task, greater attention does not lead to greater learning. In fact, preschoolers show improved word-learning performance for items that were trained in a spoken sentence compared to items that were trained in a song. This means that while songs may be beneficial for increasing child engagement, spoken sentences may be best for supporting deep level learning of language concepts.",22,framework,does not test,none,,"Offers a measure: validated remote eye-gaze word-learning procedure for toddlers, the kind of language-outcome instrument a screen-time/language study would cite in Methods; does not itself test screen time.",fable,,neutral,95,The paper does not directly address the association between higher screen time in infancy and language delay,does not test it,other,neutral,W3192812203
58,egg_intro_early,Introducing egg between 4 and 6 months reduces the risk of egg allergy,Introducing egg between 4 and 6 months reduces the risk of egg allergy,Implementing primary prevention of food allergy in infants: New BSACI guidance published,"The BSACI this month published guidance for UK Healthcare professionals on preventing food allergy in higher risk infants, including advice on the earlier introduction of potential allergenic foods into the infant diet, to reduce the risk of food allergy.1 There is an accompanying information sheet for parents with practical advice on introducing allergenic foods during complementary feeding.1 The guidance has been developed by the Paediatric Allergy Group of BSACI and the Food Allergy Specialist Group (FASG) of the British Dietetic Association (BDA), following consultation with both the BSACI and the BDA membership, a broad range of healthcare professionals including health visitors and general practitioners, parents and patient support groups. The guidance is designed to complement the recent review of scientific evidence published by a joint committee of the UK's Scientific Advisory Committee on Nutrition (SACN) and the Committee on Toxicity of Chemicals in Food, Consumer Products and the Environment (COT).2 The SACN/COT statement recommended the following: The SACN/COT statement acknowledged that recommendations for healthcare professionals may need to take into account different clinical scenarios, and that targeted advice may be appropriate for infants at a higher risk of developing food allergy. They proposed that families of infants with a history of early-onset eczema or suspected food allergy may wish to seek medical advice before introducing peanut or hen's egg. The BSACI/FASG guidance provides advice relating to this group of children and is summarized in Figure 1. It differs from equivalent current international guidelines, in that: The BSACI/FASG guidance suggests that if a baby is at higher risk of developing food allergy, parents may wish to start complementary foods from 4 months, including egg (if part of the family's diet) and then peanut in an age-appropriate manner to avoid risk of choking. Mothers should continue to breastfeed whilst introducing solid foods, if possible. If breastmilk is not available, families should use a standard cow's milk formula rather than a “low allergy” (hypoallergenic) formula, unless the baby is allergic to cow's milk. Unlike the NIAID guidelines for peanut introduction, screening is not routinely recommended prior to introducing egg or peanut in higher risk infants, as despite its potential role in identifying sensitization, access in the UK primary care setting is difficult and would require prompt in-hospital food challenge where present. Healthcare professionals should help parents to make an informed decision in this regard. This will depend on their understanding of the potential for an allergic reaction when allergenic foods are introduced into the diet and the availability of allergy testing within the local clinical service. However, this must be balanced against the risk that a delay in introduction may increase the risk of their infant developing a food allergy. This is a pragmatic decision, based not only on the current availability of allergy testing (and, where indicated, prompt referral for supervised food challenge) in this age group, but also on the basis that to date, no life-threatening reactions have been reported in infants related to the introduction of allergenic foods. Of note, screening is not generally offered in those countries where peanut is introduced in infancy, and this has not caused major public health concerns. However, some infants will already be allergic to these foods when introduced into the diet (Figure 2). It is for this reason that information regarding allergic symptoms and their management figure prominently in both guidance to healthcare professionals and that for parent/carers. The BSACI/FASG document is guidance rather than a guideline. This was intentional: guidelines are public health recommendations applicable across the population, and “need to be made on the basis of high-level evidence and more than one randomized clinical trial to ensure ‘no harm’ results.”5 In contrast, the BSACI/FASG guidance is designed to provide useful background and practical advice to healthcare professionals and parent/carers alike in implementing the available evidence from the EAT, LEAP and other studies to support individualized care. The new guidance is available to download at http://www.bsaci.org/about/early-feeding-guidance. PJT has received consultancy fees from the UK Departments of Health with respect to primary prevention strategies for food allergy; research funding from the UK Medical Research Council (reference MR/K010468/1) and the National Institute for Health Research (NIHR) Biomedical Research Centre at Imperial College Healthcare NHS Trust/Imperial College London. He was a co-investigator on the Beating Egg Allergy (BEAT) Trial (a primary prevention trial for egg allergy) funded by the Ilhan Food Allergy Foundation. MF was a dietitian on the LEAP (Learning Early About Peanut) study, funded by the National Institute of Allergy and Infectious Diseases (NIAID, NIH), Food Allergy & Research Education (FARE), MRC & Asthma UK Centre, NIHR, National Peanut Board (NRP) and FSA. She has received research support from the British Dietetic Association and the Anaphylaxis Campaign. RM has received speaker fees for Nestle, Mead Johnson and Danone; she is on the allergy advisory board for Mead Johnson. MRP was joint principle investigator on the EAT (Enquiring About Tolerance) Study, funded by the UK Food Standards Agency. ATF has received research funding from Danone and acted as a paid consultant for Danone, Mead Johnson, Abbott and Nestle Nutrition. All the authors were on the BSACI/FASG working group for the new BSACI/FASG guidance on preventing food allergy in higher risk infants. The views expressed are those of the author(s) and not necessarily those of the NHS, NIHR, or the Department of Health.",67,framework,does not test,endorses,"advice on the earlier introduction of potential allergenic foods into the infant diet, to reduce the risk of food allergy","Offers a guideline: BSACI guidance on early egg/peanut introduction, built on EAT/LEAP evidence rather than presenting new test data.",fable,,supports,80,"Advice for earlier introduction of potential allergenic foods, including hen's egg, for higher risk infants",agrees,review,complement,W2887924454
59,hydrolysed_formula_allergy,Hydrolysed formula prevents allergic disease in high-risk infants,Hydrolysed formula prevents allergic disease in high-risk infants,The effect of diet in infancy on asthma in young adults: the Merthyr Allergy Prevention Study,"INTRODUCTION: Early infant diet might influence the risk of subsequent allergic disease. METHODS: The Merthyr Allergy Prevention Study (MAPS) was a randomised controlled trial in infants at high risk of allergic disease. The trial determined whether a cow's milk exclusion diet for the first 4 months of life decreased the risk of allergic disease including asthma compared with a normal diet. A soya milk preparation was offered to those in the intervention group. A standardised questionnaire for allergic disease was completed at ages 1, 7, 15 and 23 years, with clinical assessment at 1, 7 and 23 years. The effect of the intervention on the risk of atopy, asthma and wheeze at age 23 years was determined. FINDINGS: 487 subjects entered the study; at age 23 years 299 completed the questionnaire, of which 119 attended clinical assessment. Subjects randomised to the intervention group had a significantly increased risk of atopy (adjusted OR 2.97, 95% CI 1.30 to 6.80; p=0.01) and asthma (OR 2.07, 95%CI 1.09 to 3.91; p=0.03) at age 23 years, but not wheeze (OR 1.43, 95%CI 0.87 to 2.37; p=0.16). Earlier exposure to cow's milk was associated with a decreased risk of wheeze and asthma at age 23 years, while earlier exposure to soya milk was associated with an increased risk of atopy and asthma. INTERPRETATION: In infants at high risk of allergic disease, either cow's milk exclusion or early soya milk introduction for the first 4 months of life increases the risk of atopy, wheeze and asthma in adulthood.",3,indirect,refutes,none,,"Neighbouring exposure: soya-based cow's-milk-exclusion formula (not hydrolysed) in high-risk infants increased atopy and asthma at 23 years, pointing against formula substitution preventing allergic disease.",fable,,refutes,95,"Early cow's milk exclusion or soya milk introduction increases the risk of atopy, wheeze, and asthma in adulthood",disagrees,rct,complement,W3158472555
60,back_to_sleep,Placing infants on their back to sleep reduces the risk of SIDS,Placing infants on their back to sleep reduces the risk of SIDS,Are Safe Sleep Practice Recommendations For Infants Being Applied Among Caregivers?,"Background Sudden infant death syndrome (SIDS) is defined as the sudden unexpected death of an infant, even after investigations and autopsy. SIDS is related to many factors, such as the baby's position and objects in the crib. Adherence to safe sleep recommendations in Saudi Arabia is unclear. This study aims to assess caregivers' implementation of safe sleep practices and if they received any safe sleep education through health care workers. Methods This was a cross-sectional, descriptive study. Inclusion criteria included all infants below the age of one year. Exclusion criteria included infants who were born premature, used ventilation, had a tracheostomy, any anomaly in the upper airway, or underwent spine surgery. A semi-structured questionnaire was used. Data were collected from mothers who had infants visiting the outpatient department of King Abdulaziz University Hospital in Jeddah, Saudi Arabia. An electronic survey was also created and published on a social platform. Statistical analysis was conducted with the aid of the Statistical Package for Social Sciences (SPSS) software, version 26 (IBM SPSS Statistics, Armonk, NY). Results Among 506 participants, only 22.5% were found to receive education about safe practices from health care providers. Fortunately, most of the infants (63.2%) were found to sleep in a supine position most of the nights. Adherent caregivers to placing the child in a designated baby bed and in a supine position most nights represented 44.86% of the sample. However, when asked about placing any of the following objects in the bed (pillows, blankets, soft toys, hard toys, and electric wires), the percentage of adherence dropped down to only 1.58%. Conclusion There was an obvious non-adherence among caregivers and a possible lack of knowledge of safe sleep recommendations for infants. This highlights the need for optimal education by health care workers and the rule of media and campaigns is obvious and essential to improving their practices and, hopefully, decreasing the risk of SIDS.",9,background,does not test,endorses,"Fortunately, most of the infants (63.2%) were found to sleep in a supine position most of the nights.","Adherence survey assuming back-sleeping guidance is correct; measures caregiver uptake, not SIDS risk by position, and its ad-hoc questionnaire is not an instrument a position-SIDS study would use.",fable,,mixed,80,"Most infants sleep in a supine position, but non-adherence to safe sleep practices is common",supports,cross-sectional,mixed,W3112982005
